Num_units,Intercept,Influence_level,Model,Replication,Measurement,Loss,Accuracy,F1_score,Imp_F,Imp_Z1,Imp_Z2
1,1,0,SVC,3,W2,0.228333333,0.77,0.833333333,0.164,0.03800000000000002,0.007333333333333336
1,1,0,SVC,3,X1,0.161666667,0.838333333,0.873533246,0.28200000000000003,0.06583333333333338,0.00033333333333336325
1,1,0,SVC,3,X2,0.155,0.838333333,0.876433121,0.25583333333333336,0.04683333333333337,0.0015000000000000458
1,1,0,RF-C,3,W1,0.215,0.785,0.837735849,0.21150000000000002,0.0546666666666667,0.009000000000000041
1,1,0,RF-C,3,W2,0.22,0.78,0.837837838,0.18300000000000005,0.058666666666666686,0.015500000000000024
1,1,0,RF-C,3,X1,0.163333333,0.836666667,0.87037037,0.28633333333333333,0.06066666666666667,0.0036666666666666627
1,1,0,RF-C,3,X2,0.148333333,0.851666667,0.884864166,0.26883333333333337,0.06200000000000002,0.01233333333333334
1,1,0,XGBoost-C,3,W1,0.211666667,0.73,0.793367347,0.16766666666666666,0.02633333333333331,-0.012666666666666682
1,1,0,XGBoost-C,3,W2,0.221666667,0.74,0.799485861,0.15550000000000003,0.045499999999999985,0.002499999999999991
1,1,0,XGBoost-C,3,X1,0.165,0.81,0.848806366,0.26633333333333337,0.05483333333333339,0.011500000000000055
1,1,0,XGBoost-C,3,X2,0.151666667,0.811666667,0.851900393,0.2373333333333333,0.0483333333333333,0.0004999999999999894
1,1,0,MLP-C,3,W1,0.203333333,0.796666667,0.839473684,0.2288333333333333,0.06966666666666663,0.0003333333333332744
1,1,0,MLP-C,3,W2,0.218333333,0.781666667,0.83480454,0.18483333333333327,0.051499999999999956,0.00583333333333329
1,1,0,MLP-C,3,X1,0.158333333,0.841666667,0.873837981,0.2863333333333334,0.07266666666666667,0.006666666666666677
1,1,0,MLP-C,3,X2,0.151666667,0.848333333,0.882882883,0.26283333333333336,0.06416666666666673,0.005500000000000038
1,1,0,LogReg,4,W1,0.231666667,0.768333333,0.82382763,0.18149999999999997,0.04083333333333332,0.0014999999999999348
1,1,0,LogReg,4,W2,0.24,0.76,0.815384615,0.1756666666666667,0.05383333333333333,-0.0011666666666666826
1,1,0,LogReg,4,X1,0.191666667,0.808333333,0.856070088,0.21233333333333332,0.05766666666666668,0.001333333333333364
1,1,0,LogReg,4,X2,0.135,0.865,0.892715232,0.2931666666666667,0.071,0.0
1,1,0,SVC,4,W1,0.226666667,0.77,0.827930175,0.16783333333333336,0.049833333333333354,-0.0008333333333333081
1,1,0,SVC,4,W2,0.241666667,0.758333333,0.813384813,0.1766666666666666,0.0503333333333333,0.0029999999999999693
1,1,0,SVC,4,X1,0.193333333,0.803333333,0.85286783,0.2015,0.053500000000000006,0.0033333333333333327
1,1,0,SVC,4,X2,0.136666667,0.851666667,0.88304862,0.2813333333333333,0.05783333333333336,-0.004499999999999993
1,1,0,RF-C,4,W1,0.221666667,0.778333333,0.832704403,0.18983333333333333,0.04983333333333332,0.016166666666666663
1,1,0,RF-C,4,W2,0.233333333,0.766666667,0.816272966,0.19500000000000006,0.062166666666666724,0.015333333333333365
1,1,0,RF-C,4,X1,0.186666667,0.813333333,0.857142857,0.21783333333333338,0.06066666666666668,0.015833333333333355
1,1,0,RF-C,4,X2,0.155,0.845,0.877470356,0.2858333333333333,0.05149999999999997,0.0031666666666666397
1,1,0,XGBoost-C,4,W1,0.225,0.75,0.810126582,0.176,0.03833333333333333,-0.0008333333333333415
1,1,0,XGBoost-C,4,W2,0.24,0.741666667,0.794156707,0.17550000000000004,0.05900000000000003,0.004833333333333345
1,1,0,XGBoost-C,4,X1,0.191666667,0.801666667,0.848792884,0.2038333333333333,0.062499999999999965,0.01599999999999998
